caseKey	pdbId	requestedFamilies	closureStatus	finalStatus
RMDB2PDB:7QIY	7QIY	A,B	ready	ready
RMDB2PDB:7QQR	7QQR	A,B	ready	ready
RMDB2PDB:7QWQ	7QWQ	A,B	ready	ready
RMDB2PDB:7TTU	7TTU	A,B	ready	ready
RMDB2PDB:7U0Y	7U0Y	A,B	ready	ready
RMDB2PDB:7UZ0	7UZ0	A,B	ready	ready
RMDB2PDB:7V08	7V08	A,B	ready	ready
RMDB2PDB:7WJU	7WJU	A,B	ready	ready
RMDB2PDB:7WKP	7WKP	B	ready	ready
RMDB2PDB:7XG1	7XG1	A	ready	ready
RMDB2PDB:7XLT	7XLT	B	ready	ready
RMDB2PDB:7YNC	7YNC	A,B	ready	ready
RMDB2PDB:7ZPJ	7ZPJ	B	ready	ready
RMDB2PDB:8ASW	8ASW	A,B	ready	ready
RMDB2PDB:8BVM	8BVM	A,B	ready	ready
RMDB2PDB:8DFS	8DFS	A	ready	ready
RMDB2PDB:8EUG	8EUG	A,B	ready	ready
RMDB2PDB:8FF4	8FF4	A,B	ready	ready
RMDB2PDB:8G8Z	8G8Z	A,B	ready	ready
RMDB2PDB:8G9Z	8G9Z	A,B	ready	ready
RMDB2PDB:8GNA	8GNA	A	ready	ready
RMDB2PDB:8H1J	8H1J	A,B	ready	ready
RMDB2PDB:8IBZ	8IBZ	A,B	ready	ready
RMDB2PDB:8OO0	8OO0	A,B	ready	ready
RMDB2PDB:8P8W	8P8W	A,B	ready	ready
RMDB2PDB:8PV4	8PV4	A,B	ready	ready
RMDB2PDB:8Q87	8Q87	A,B	ready	ready
RMDB2PDB:8QO2	8QO2	A,B	ready	ready
RMDB2PDB:8QO4	8QO4	A,B	ready	ready
RMDB2PDB:8RR3	8RR3	A,B	ready	ready
RMDB2PDB:8T2T	8T2T	A,B	ready	ready
RMDB2PDB:8TJV	8TJV	A,B	ready	ready
RMDB2PDB:8UYE	8UYE	A,B	ready	ready
RMDB2PDB:8V87	8V87	A,B	ready	ready
RMDB2PDB:8Y7E	8Y7E	A,B	ready	ready
RMDB2PDB:9BDN	9BDN	A,B	ready	ready
RMDB2PDB:9ELY	9ELY	A,B	ready	ready
RMDB2PDB:9ENB	9ENB	A,B	ready	ready
RMDB2PDB:9ENE	9ENE	A,B	ready	ready
RMDB2PDB:9G25	9G25	A,B	ready	ready
RMDB2PDB:9G7C	9G7C	A,B	ready	ready
RMDB2PDB:9GGR	9GGR	A,B	ready	ready
RMDB2PDB:9H90	9H90	A,B	ready	ready
RMDB2PDB:9HM5	9HM5	A,B	ready	ready
RMDB2PDB:9HN7	9HN7	A,B	ready	ready
RMDB2PDB:9HWG	9HWG	A,B	ready	ready
RMDB2PDB:9IMK	9IMK	A,B	ready	ready
RMDB2PDB:9J4O	9J4O	A,B	ready	ready
RMDB2PDB:9J5O	9J5O	A,B	ready	ready
RMDB2PDB:9J6Y	9J6Y	A,B	ready	ready
RMDB2PDB:9K1Q	9K1Q	A,B	ready	ready
RMDB2PDB:9K9J	9K9J	A,B	ready	ready
RMDB2PDB:9L5R	9L5R	A,B	ready	ready
RMDB2PDB:9MB7	9MB7	A,B	ready	ready
RMDB2PDB:9MK3	9MK3	A,B	ready	ready
RMDB2PDB:9MKT	9MKT	A	ready	ready
RMDB2PDB:9N6T	9N6T	A,B	ready	ready
RMDB2PDB:9NH6	9NH6	A,B	ready	ready
RMDB2PDB:9OWM	9OWM	A,B	ready	ready
RMDB2PDB:9R3A	9R3A	A,B	ready	ready
RMDB2PDB:9RUC	9RUC	A,B	ready	ready
RMDB2PDB:9RWA	9RWA	A,B	ready	ready
RMDB2PDB:9RWB	9RWB	A,B	ready	ready
RMDB2PDB:9SFB	9SFB	A,B	ready	ready
RMDB2PDB:9SS6	9SS6	A,B	ready	ready
RMDB2PDB:9UZL	9UZL	A,B	ready	ready
RMDB2PDB:9Y4G	9Y4G	A,B	ready	ready
RMDB2PDB:9ZC6	9ZC6	A,B	ready	ready
RMDB2PDB:9ZC8	9ZC8	A,B	ready	ready
RMDB2PDB:9ZNF	9ZNF	A,B	ready	ready
RMDB2PDB:10ZT	10ZT	B	ready	ready
RMDB2PDB:11AG	11AG	B	ready	ready
RMDB2PDB:1C9S	1C9S	A	ready	ready
RMDB2PDB:1FFZ	1FFZ	A,B	ready	ready
RMDB2PDB:1IVS	1IVS	A,B	ready	ready
RMDB2PDB:1U63	1U63	A,B	ready	ready
RMDB2PDB:1U9S	1U9S	A,B	ready	ready
RMDB2PDB:2DU4	2DU4	A,B	ready	ready
RMDB2PDB:2DXI	2DXI	A,B	ready	ready
RMDB2PDB:2EEV	2EEV	A,B	ready	ready
RMDB2PDB:2J37	2J37	A,B	ready	ready
RMDB2PDB:2K96	2K96	B	ready	ready
RMDB2PDB:2L3J	2L3J	A,B	ready	ready
RMDB2PDB:2L94	2L94	A	ready	ready
RMDB2PDB:2LC8	2LC8	A,B	ready	ready
RMDB2PDB:2M8K	2M8K	A	ready	ready
RMDB2PDB:2MIY	2MIY	A,B	ready	ready
RMDB2PDB:2N4L	2N4L	A	ready	ready
RMDB2PDB:2QUS	2QUS	A,B	ready	ready
RMDB2PDB:2RKJ	2RKJ	A,B	ready	ready
RMDB2PDB:2XD0	2XD0	A,B	ready	ready
RMDB2PDB:2XXA	2XXA	A,B	ready	ready
RMDB2PDB:2ZNI	2ZNI	A,B	ready	ready
RMDB2PDB:2ZZM	2ZZM	A,B	ready	ready
RMDB2PDB:3B4C	3B4C	A,B	ready	ready
RMDB2PDB:3DIL	3DIL	A,B	ready	ready
RMDB2PDB:3HAY	3HAY	A,B	ready	ready
RMDB2PDB:3I56	3I56	A,B	ready	ready
RMDB2PDB:3ICQ	3ICQ	A,B	ready	ready
RMDB2PDB:3JCS	3JCS	A,B	ready	ready
RMDB2PDB:3KFU	3KFU	A,B	ready	ready
RMDB2PDB:3LA5	3LA5	A,B	ready	ready
RMDB2PDB:3NDB	3NDB	A,B	ready	ready
RMDB2PDB:3Q1R	3Q1R	A,B	ready	ready
RMDB2PDB:3RG5	3RG5	A,B	ready	ready
RMDB2PDB:3RKF	3RKF	A,B	ready	ready
RMDB2PDB:3WQY	3WQY	A,B	ready	ready
RMDB2PDB:4BTS	4BTS	A,B	ready	ready
RMDB2PDB:4C4Q	4C4Q	A,B	ready	ready
RMDB2PDB:4C7O	4C7O	A	ready	ready
RMDB2PDB:4FRG	4FRG	A,B	ready	ready
RMDB2PDB:4FRN	4FRN	A,B	ready	ready
RMDB2PDB:4LX6	4LX6	A,B	ready	ready
RMDB2PDB:4M4O	4M4O	A	ready	ready
RMDB2PDB:4P5J	4P5J	A,B	ready	ready
RMDB2PDB:4Q9R	4Q9R	A,B	ready	ready
RMDB2PDB:4U7U	4U7U	A,B	ready	ready
RMDB2PDB:4UYK	4UYK	A,B	ready	ready
RMDB2PDB:4V4W	4V4W	A,B	ready	ready
RMDB2PDB:4V6I	4V6I	A,B	ready	ready
RMDB2PDB:4V8A	4V8A	A,B	ready	ready
RMDB2PDB:4X4U	4X4U	A,B	ready	ready
RMDB2PDB:4XCO	4XCO	A,B	ready	ready
RMDB2PDB:4XEJ	4XEJ	A,B	ready	ready
RMDB2PDB:4YYE	4YYE	A,B	ready	ready
RMDB2PDB:4ZNP	4ZNP	A,B	ready	ready
RMDB2PDB:4ZT0	4ZT0	A,B	ready	ready
RMDB2PDB:5AH5	5AH5	A,B	ready	ready
RMDB2PDB:5BTM	5BTM	A,B	ready	ready
RMDB2PDB:5DDR	5DDR	A,B	ready	ready
RMDB2PDB:5FQ5	5FQ5	A,B	ready	ready
RMDB2PDB:5JC9	5JC9	A,B	ready	ready
RMDB2PDB:5JPQ	5JPQ	A,B	ready	ready
RMDB2PDB:5L3P	5L3P	A,B	ready	ready
RMDB2PDB:5M0H	5M0H	A	ready	ready
RMDB2PDB:5U3G	5U3G	A,B	ready	ready
RMDB2PDB:5UNE	5UNE	A,B	ready	ready
