caseKey	pdbId	requestedFamilies	closureStatus	finalStatus
RMDB2PDB:8B0J	8B0J	A,B	ready	ready
RMDB2PDB:8BTZ	8BTZ	A,B	ready	ready
RMDB2PDB:8CBL	8CBL	A,B	ready	ready
RMDB2PDB:8CBO	8CBO	A,B	ready	ready
RMDB2PDB:8CTI	8CTI	A,B	ready	ready
RMDB2PDB:8CTL	8CTL	A,B	ready	ready
RMDB2PDB:8DC2	8DC2	A,B	ready	ready
RMDB2PDB:8DMB	8DMB	A,B	ready	ready
RMDB2PDB:8DP3	8DP3	A,B	ready	ready
RMDB2PDB:8DVU	8DVU	A	ready	ready
RMDB2PDB:8EG0	8EG0	A,B	ready	ready
RMDB2PDB:8F4O	8F4O	A,B	ready	ready
RMDB2PDB:8FCS	8FCS	A,B	ready	ready
RMDB2PDB:8FFR	8FFR	A,B	ready	ready
RMDB2PDB:8FMW	8FMW	A,B	ready	ready
RMDB2PDB:8FZR	8FZR	A,B	ready	ready
RMDB2PDB:8G1I	8G1I	A,B	ready	ready
RMDB2PDB:8G4I	8G4I	A,B	ready	ready
RMDB2PDB:8H2H	8H2H	A,B	ready	ready
RMDB2PDB:8J12	8J12	A,B	ready	ready
RMDB2PDB:8JOZ	8JOZ	A,B	ready	ready
RMDB2PDB:8JSG	8JSG	A,B	ready	ready
RMDB2PDB:8P60	8P60	A,B	ready	ready
RMDB2PDB:8P8V	8P8V	A,B	ready	ready
RMDB2PDB:8QO5	8QO5	A,B	ready	ready
RMDB2PDB:8R6F	8R6F	A,B	ready	ready
RMDB2PDB:8S8I	8S8I	A,B	ready	ready
RMDB2PDB:8SP9	8SP9	A,B	ready	ready
RMDB2PDB:8TOZ	8TOZ	A,B	ready	ready
RMDB2PDB:8URJ	8URJ	A,B	ready	ready
RMDB2PDB:8VV4	8VV4	A,B	ready	ready
RMDB2PDB:8WQ4	8WQ4	A,B	ready	ready
RMDB2PDB:8Y2O	8Y2O	A,B	ready	ready
RMDB2PDB:8ZYD	8ZYD	A,B	ready	ready
RMDB2PDB:9A9V	9A9V	A,B	ready	ready
RMDB2PDB:9DCF	9DCF	A,B	ready	ready
RMDB2PDB:9DPB	9DPB	A,B	ready	ready
RMDB2PDB:9E71	9E71	A,B	ready	ready
RMDB2PDB:9FBV	9FBV	A,B	ready	ready
RMDB2PDB:9G8P	9G8P	B	ready	ready
RMDB2PDB:9GUT	9GUT	A,B	ready	ready
RMDB2PDB:9HLZ	9HLZ	A,B	ready	ready
RMDB2PDB:9I2E	9I2E	A,B	ready	ready
RMDB2PDB:9I3L	9I3L	A,B	ready	ready
RMDB2PDB:9LOV	9LOV	A,B	ready	ready
RMDB2PDB:9MCW	9MCW	A,B	ready	ready
RMDB2PDB:9P4I	9P4I	A,B	ready	ready
RMDB2PDB:9QEG	9QEG	A,B	ready	ready
RMDB2PDB:9QT5	9QT5	A,B	ready	ready
RMDB2PDB:9R3D	9R3D	A,B	ready	ready
RMDB2PDB:9SAR	9SAR	A,B	ready	ready
RMDB2PDB:9SWN	9SWN	A,B	ready	ready
RMDB2PDB:9U48	9U48	A	ready	ready
RMDB2PDB:9X6B	9X6B	A,B	ready	ready
RMDB2PDB:9ZIU	9ZIU	A,B	ready	ready
RMDB2PDB:11BQ	11BQ	A,B	ready	ready
RMDB2PDB:1GID	1GID	A,B	ready	ready
RMDB2PDB:1H4Q	1H4Q	A,B	ready	ready
RMDB2PDB:1KXK	1KXK	A,B	ready	ready
RMDB2PDB:1NBS	1NBS	A,B	ready	ready
RMDB2PDB:1S03	1S03	A,B	ready	ready
RMDB2PDB:1X8W	1X8W	A,B	ready	ready
RMDB2PDB:28UL	28UL	B	ready	ready
RMDB2PDB:2CSX	2CSX	A,B	ready	ready
RMDB2PDB:2IL9	2IL9	A,B	ready	ready
RMDB2PDB:2KE6	2KE6	B	ready	ready
RMDB2PDB:2L1V	2L1V	A,B	ready	ready
RMDB2PDB:2M58	2M58	B	ready	ready
RMDB2PDB:2MF1	2MF1	A,B	ready	ready
RMDB2PDB:2WWB	2WWB	A,B	ready	ready
RMDB2PDB:2XDB	2XDB	A,B	ready	ready
RMDB2PDB:2XKV	2XKV	A,B	ready	ready
RMDB2PDB:3AMT	3AMT	A,B	ready	ready
RMDB2PDB:3CUL	3CUL	A,B	ready	ready
RMDB2PDB:3D2V	3D2V	A,B	ready	ready
RMDB2PDB:3DHS	3DHS	A,B	ready	ready
RMDB2PDB:3GOT	3GOT	A,B	ready	ready
RMDB2PDB:3IVK	3IVK	A,B	ready	ready
RMDB2PDB:3K0J	3K0J	A,B	ready	ready
RMDB2PDB:3OXM	3OXM	A,B	ready	ready
RMDB2PDB:3SD3	3SD3	B	ready	ready
RMDB2PDB:3TUP	3TUP	A,B	ready	ready
RMDB2PDB:4ENC	4ENC	A	ready	ready
RMDB2PDB:4GCW	4GCW	A,B	ready	ready
RMDB2PDB:4JRC	4JRC	A,B	ready	ready
RMDB2PDB:4MGN	4MGN	A,B	ready	ready
RMDB2PDB:4P8Z	4P8Z	A,B	ready	ready
RMDB2PDB:4PQV	4PQV	A,B	ready	ready
RMDB2PDB:4PR6	4PR6	A	ready	ready
RMDB2PDB:4PRF	4PRF	A,B	ready	ready
RMDB2PDB:4RDX	4RDX	A,B	ready	ready
RMDB2PDB:4RUM	4RUM	A,B	ready	ready
RMDB2PDB:4UYJ	4UYJ	A,B	ready	ready
RMDB2PDB:4V42	4V42	A,B	ready	ready
RMDB2PDB:4V4J	4V4J	A,B	ready	ready
RMDB2PDB:4X0B	4X0B	A,B	ready	ready
RMDB2PDB:5AKA	5AKA	A,B	ready	ready
RMDB2PDB:5AOX	5AOX	A,B	ready	ready
RMDB2PDB:5CD1	5CD1	A,B	ready	ready
RMDB2PDB:5D5L	5D5L	A,B	ready	ready
RMDB2PDB:5DAR	5DAR	A,B	ready	ready
RMDB2PDB:5DDO	5DDO	A,B	ready	ready
RMDB2PDB:5DH7	5DH7	B	ready	ready
RMDB2PDB:5EF3	5EF3	A	ready	ready
RMDB2PDB:5HC9	5HC9	A,B	ready	ready
RMDB2PDB:5LYV	5LYV	B	ready	ready
RMDB2PDB:5O69	5O69	A,B	ready	ready
RMDB2PDB:5OIK	5OIK	A,B	ready	ready
RMDB2PDB:5OQL	5OQL	A,B	ready	ready
RMDB2PDB:5VSU	5VSU	A,B	ready	ready
RMDB2PDB:5VT0	5VT0	A,B	ready	ready
RMDB2PDB:5VW1	5VW1	A,B	ready	ready
RMDB2PDB:5VZL	5VZL	A,B	ready	ready
RMDB2PDB:5WE4	5WE4	A,B	ready	ready
RMDB2PDB:5WWT	5WWT	A,B	ready	ready
RMDB2PDB:5X6B	5X6B	A,B	ready	ready
RMDB2PDB:5XLP	5XLP	B	ready	ready
RMDB2PDB:5XTM	5XTM	A,B	ready	ready
RMDB2PDB:5XWP	5XWP	A,B	ready	ready
RMDB2PDB:5ZTM	5ZTM	A	ready	ready
RMDB2PDB:6AHU	6AHU	A,B	ready	ready
RMDB2PDB:6C27	6C27	A,B	ready	ready
RMDB2PDB:6C66	6C66	A,B	ready	ready
RMDB2PDB:6D90	6D90	A,B	ready	ready
RMDB2PDB:6DN2	6DN2	A,B	ready	ready
RMDB2PDB:6E81	6E81	B	ready	ready
RMDB2PDB:6FRK	6FRK	A,B	ready	ready
RMDB2PDB:6FZ0	6FZ0	A,B	ready	ready
RMDB2PDB:6JXM	6JXM	A,B	ready	ready
RMDB2PDB:6K0B	6K0B	A,B	ready	ready
RMDB2PDB:6NEQ	6NEQ	A,B	ready	ready
RMDB2PDB:6OL3	6OL3	A,B	ready	ready
RMDB2PDB:6POM	6POM	A,B	ready	ready
RMDB2PDB:6SH8	6SH8	A,B	ready	ready
RMDB2PDB:6TPQ	6TPQ	A,B	ready	ready
RMDB2PDB:6UFG	6UFG	A,B	ready	ready
RMDB2PDB:6UFM	6UFM	A,B	ready	ready
RMDB2PDB:6VBW	6VBW	A,B	ready	ready
RMDB2PDB:6VPC	6VPC	A,B	ready	ready
RMDB2PDB:6VQX	6VQX	B	ready	ready
RMDB2PDB:6WBR	6WBR	A,B	ready	ready
RMDB2PDB:6WLK	6WLK	A,B	ready	ready
RMDB2PDB:6WNW	6WNW	A,B	ready	ready
RMDB2PDB:6WOO	6WOO	A,B	ready	ready
RMDB2PDB:6XKO	6XKO	A,B	ready	ready
RMDB2PDB:6XZR	6XZR	A	ready	ready
RMDB2PDB:6YT9	6YT9	A,B	ready	ready
RMDB2PDB:7ASP	7ASP	A,B	ready	ready
RMDB2PDB:7E8O	7E8O	A,B	ready	ready
RMDB2PDB:7ELE	7ELE	A,B	ready	ready
RMDB2PDB:7JNH	7JNH	A,B	ready	ready
RMDB2PDB:7KD1	7KD1	A,B	ready	ready
RMDB2PDB:7KKV	7KKV	B	ready	ready
RMDB2PDB:7KRO	7KRO	A,B	ready	ready
RMDB2PDB:7LVA	7LVA	A,B	ready	ready
RMDB2PDB:7LYG	7LYG	A,B	ready	ready
RMDB2PDB:7OKY	7OKY	A,B	ready	ready
RMDB2PDB:7PTS	7PTS	A,B	ready	ready
RMDB2PDB:7PWG	7PWG	A,B	ready	ready
RMDB2PDB:7QEP	7QEP	A,B	ready	ready
RMDB2PDB:7QH4	7QH4	A,B	ready	ready
RMDB2PDB:7QIZ	7QIZ	A,B	ready	ready
RMDB2PDB:7QR0	7QR0	A,B	ready	ready
RMDB2PDB:7QR4	7QR4	A,B	ready	ready
RMDB2PDB:7QR8	7QR8	A,B	ready	ready
RMDB2PDB:7S36	7S36	A,B	ready	ready
RMDB2PDB:7SBA	7SBA	A	ready	ready
RMDB2PDB:7SYS	7SYS	A,B	ready	ready
RMDB2PDB:7TQV	7TQV	A,B	ready	ready
RMDB2PDB:7TR9	7TR9	B	ready	ready
RMDB2PDB:7U4A	7U4A	B	ready	ready
RMDB2PDB:7UMC	7UMC	A,B	ready	ready
RMDB2PDB:7UO5	7UO5	A,B	ready	ready
RMDB2PDB:7UR5	7UR5	A,B	ready	ready
RMDB2PDB:7V06	7V06	B	ready	ready
RMDB2PDB:7V59	7V59	A,B	ready	ready
RMDB2PDB:7WWU	7WWU	A	ready	ready
RMDB2PDB:7ZJ5	7ZJ5	A,B	ready	ready
RMDB2PDB:7ZO1	7ZO1	A,B	ready	ready
RMDB2PDB:8A3W	8A3W	A,B	ready	ready
RMDB2PDB:8A98	8A98	A,B	ready	ready
RMDB2PDB:8C83	8C83	A,B	ready	ready
RMDB2PDB:8D9L	8D9L	A,B	ready	ready
RMDB2PDB:8DO6	8DO6	B	ready	ready
RMDB2PDB:8DZJ	8DZJ	A,B	ready	ready
RMDB2PDB:8EYU	8EYU	A,B	ready	ready
RMDB2PDB:8FL2	8FL2	A,B	ready	ready
RMDB2PDB:8GAP	8GAP	A,B	ready	ready
RMDB2PDB:8GS2	8GS2	A,B	ready	ready
RMDB2PDB:8GZQ	8GZQ	A,B	ready	ready
RMDB2PDB:8H1C	8H1C	A,B	ready	ready
RMDB2PDB:8HBA	8HBA	A,B	ready	ready
RMDB2PDB:8HF0	8HF0	A,B	ready	ready
RMDB2PDB:8HNW	8HNW	A,B	ready	ready
RMDB2PDB:8JG9	8JG9	A,B	ready	ready
RMDB2PDB:8JIV	8JIV	A,B	ready	ready
RMDB2PDB:8OMR	8OMR	A,B	ready	ready
RMDB2PDB:8PTG	8PTG	A,B	ready	ready
RMDB2PDB:8Q6N	8Q6N	B	ready	ready
RMDB2PDB:8Q7N	8Q7N	A,B	ready	ready
RMDB2PDB:8QO3	8QO3	A,B	ready	ready
RMDB2PDB:8QZS	8QZS	A,B	ready	ready
RMDB2PDB:8RWG	8RWG	A,B	ready	ready
RMDB2PDB:8SCH	8SCH	A,B	ready	ready
RMDB2PDB:8SH5	8SH5	A,B	ready	ready
RMDB2PDB:8UPY	8UPY	A,B	ready	ready
RMDB2PDB:8UYP	8UYP	A,B	ready	ready
RMDB2PDB:8VVJ	8VVJ	B	ready	ready
RMDB2PDB:8VY1	8VY1	A,B	ready	ready
RMDB2PDB:8W2O	8W2O	A,B	ready	ready
RMDB2PDB:8XI2	8XI2	A,B	ready	ready
RMDB2PDB:8XT0	8XT0	A,B	ready	ready
RMDB2PDB:8ZMI	8ZMI	A,B	ready	ready
RMDB2PDB:9BLM	9BLM	A	ready	ready
RMDB2PDB:9DE5	9DE5	A,B	ready	ready
RMDB2PDB:9DIB	9DIB	A,B	ready	ready
RMDB2PDB:9DTT	9DTT	A,B	ready	ready
RMDB2PDB:9EWW	9EWW	A,B	ready	ready
RMDB2PDB:9EY1	9EY1	A,B	ready	ready
RMDB2PDB:9FNZ	9FNZ	A,B	ready	ready
RMDB2PDB:9G1Z	9G1Z	A,B	ready	ready
RMDB2PDB:9GBW	9GBW	A,B	ready	ready
RMDB2PDB:9H74	9H74	A,B	ready	ready
RMDB2PDB:9KDV	9KDV	A,B	ready	ready
RMDB2PDB:9LCR	9LCR	A,B	ready	ready
RMDB2PDB:9M0P	9M0P	A,B	ready	ready
RMDB2PDB:9N2C	9N2C	A,B	ready	ready
RMDB2PDB:9N5T	9N5T	A,B	ready	ready
RMDB2PDB:9NLN	9NLN	A,B	ready	ready
RMDB2PDB:9RW8	9RW8	A,B	ready	ready
RMDB2PDB:9V7O	9V7O	A,B	ready	ready
RMDB2PDB:9ZCD	9ZCD	A,B	ready	ready
RMDB2PDB:9ZQ6	9ZQ6	A,B	ready	ready
